title,published_date,updated_published_date,author,content,location,crime,news_url,img_url,latitude,longitude,crime_numeric
BI nabs South Korean fugitive wanted for telcom fraud,06/05/2023 17:55,,GMA Integrated News,south fugitive involvement voice scam bureau immigration international airport year old suspect border control intelligence unit june arrival shanghai china immigration personnel confirmed included list foreign unit immigration duty able confirm person registered hit deputy chief said suspect currently facility waiting deportation following deportation according national central bureau manila district court south arrest warrant suspect fraud accused allegedly member voice syndicate financial institution random promising huge money reportedly scheme deposit money bank billion won million locus news,Metro Manila,Cybercrime,https://www.gmanetwork.com/news/topstories/metro/872078/bi-nabs-south-korean-fugitive-wanted-for-telcom-fraud/story/,https://images.gmanews.tv/webpics/2020/11/Bureau_of_Immigration_building_2020_11_28_16_00_28.jpg,,,6
"MMDA enforcers to wear body cameras to prevent abuse, extortion",4/26/2023 12:24,,GMA Integrated News,metropolitan manila development authority set wear body prevent abuse extortion ahead single ticketing system according balita report traffic discipline office orientation proper use body camera equivalent shift enforcer linked new command center city evidence case body currently body worn manila mesa manila avenue city agency add body coming news,Metro Manila,Cybercrime,https://www.gmanetwork.com/news/topstories/metro/868100/mmda-enforcers-to-wear-body-cameras-to-prevent-abuse-extortion/story/,https://images.gmanews.tv/webpics/2023/04/MMDA_traffic_enforcers_to_wear_body_cameras_during_operations_2023_04_26_12_22_34.jpg,,,6
â€˜Shabuâ€™ worth P19M found in bag abandoned at NAIA,5/17/2023 23:40,,GMA Integrated News,bag abandoned international airport found contain suspected said worth million according report bag registered turned passenger tried enter country bag later unattended came country flight bangkok drug enforcement agency said determine owner bag turned sent country origin investigation ongoing identify person illegal news,Metro Manila,Morality Crime,https://www.gmanetwork.com/news/topstories/metro/870389/shabu-at-naia-worth-p19m-found-in-abandoned-bag/story/,https://images.gmanews.tv/webpics/2023/05/shabu_at_naia_2023_05_17_23_36_09.png,,,3
"3 foreigners, 2 Pinoys nabbed over cryptocurrency scam in Pasig",5/18/2023 10:42,,GMA Integrated News,people city night involvement scam national police anti group said statement shay search warrant judge city regional trial court branch said caught fraud chatting seen system second floor establishment said foreign supposed illegal establishment police operation stemmed information certain foreign illegal establishment operating scam establishment brought headquarters booking documentation preparation inquest said according face violation prevention act rita news,Pasig City,Cybercrime,https://www.gmanetwork.com/news/topstories/metro/870406/3-foreigners-2-pinoys-nabbed-over-cryptocurrency-scam-in-pasig/story/,https://images.gmanews.tv/webpics/2021/10/reeltime7_2021_10_12_17_12_25.jpg,,,6
Ex-QC Mayor Bautista pleads 'not guilty' on P32M graft raps,5/18/2023 11:40,,"LLANESCA T. PANTI, GMA Integrated News",city mayor city administrator guilty graft connection anomalous project worth million personally non guilty plea arraignment case ombudsman accused partiality contract occupational system despite absence specific appropriation city council guilty politically case city government told arraignment devoted city politics case added rise serving city councilor vice mayor mayor term drop supposed politically case kayo said leave lawyer tried defer arraignment client filing motion quash day serve prosecution copy said pleading ahead arraignment date violation court section court clear motion outright seventh division associate justice said trial conference prosecution defense agreeing existence execution authenticity related contract committee resolution notice award delivery receipts likewise agreed furnish motion concerning case days furnish court corresponding hard sending accredited courier court personal delivery news,Quezon City,Financial or White Collar Crime,https://www.gmanetwork.com/news/topstories/metro/870411/ex-qc-mayor-bautista-pleads-not-guilty-on-p32m-graft-raps/story/,https://images.gmanews.tv/v3/webpics/v3/2014/08/2014_08_23_18_25_37.jpg,14.6508,121.04821,5
"Cousins in â€˜tanim drogaâ€™ case exonerated, cops including station chief arrested",03/02/2023 1:16,,GMA Integrated News,illegal case police according exclusive report jay jake real said took away taken precinct said jay police look drug tested negative said jay said police took away selling divided necklace bracelet inside jail said said cousin jake forced confess hit forehead gun let room came let punching stomach said jay mother said precinct station commander police major money let said mother afford said national police integrity enforcement group director police general warren unable afford agreed complainant counter intelligence task force patrolman ariel allegedly accepted money entrapment operation service want money trap look racket added city regional trial court resolution jay jake illegal drug case police went internal service file police allegedly involved incident feel like thorn course situation fear said fight fight like jay added news accused police comment news,Taguig City,Morality Crime,https://www.gmanetwork.com/news/topstories/metro/862510/cousins-in-tanim-droga-case-exonerated-cops-including-station-chief-arrested/story/,https://images.gmanews.tv/webpics/2023/03/tanim_droga_2023_03_02_00_02_57.jpg,,,3
Frat neophyte identifies 6 persons of interest in Adamson student's death,03/02/2023 9:47,,"JOVILAND RITA, GMA Integrated News",fraternity neophyte positively interest allegedly involved hazing university student balita roi said body found shallow grave week seen alive underwent initiation welcome respectively report said went police night interest police station respective hazing incident according initiation chemical engineering student saying ako said told receive initiation considering law hazing said received said wax burning candle body removed whipping belt based autopsy cause death severe blunt force lower report said swing gave thinking quit die able handle maybe want said person gave thank thought die painful case interest leader tau gamma phi university chapter tung cheng teng police acting chief police lieutenant colonel considered case arrest fraternity chapter consider case case closed convinced airtight case said police tracked house hazing took place barangay according police witness house reportedly fraternity according police interest tau gamma venue initiation welcome find place manila police trying find paddle witness said burned police set file complaint department justice fraternity violation anti hazing law morning interest large according police family said determined pursue legal case interest fraternity brought hospital group inhumane inhuman son place saw son grave threw son hurt said victim father group inhuman son saw son found grave hurt separate report balita said police footage seen inside bus way footage board motorcycle carrying suspected paddle transport fraternity found house city tagged evidence police according police sat passenger lifeless transferred compartment second vehicle police complaint father obstruction justice according separate report chino balita police person interest considering body found university wore black family student government requiem mass news,Laguna,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/862543/frat-neophyte-identifies-6-suspects-in-adamson-student-s-death/story/,https://images.gmanews.tv/webpics/2023/03/ubfoto_2023_03_02_09_44_38.jpg,,,1
All Pasay jail escapees rearrested â€“SPD,04/04/2023 20:04,,"SHERYLIN UNTALAN, GMA Integrated News",rearrest allegedly republic act comprehensive dangerous act broke detention facility city custody southern police district said according sam report super caught police custody media police headquarters office police custody evening detention facility barangay early morning break iron bar main facility duty jailer took service firearm cash jail news,Pasay City,Morality Crime,https://www.gmanetwork.com/news/topstories/metro/866016/all-pasay-jail-escapees-rearrested-spd/story/,https://images.gmanews.tv/webpics/2023/04/Pasaypolice_2023_04_03_11_57_52.jpg,,,3
2 nabbed for selling registered SIM cards,04/04/2023 20:10,,GMA Integrated News,selling registered fictitious identity city national businessman according report southern police district said selling registered law card registration act card registered group holding card fictitious true district director police brigadier general kraft said card registration act card registered group selling card registered fictitious person regular card group registered mobile wallet added regular card group selling registered mobile wallet registered marked money arrest violation republic act registration act know knew driven said know knew drive saying selling registered scary use fraud case violation act card registration act kraft said scary use fraud complaint violation act card registration act follow registration act republic act end platform text sale use mandatory registration end law president news,Makati City,Financial or White Collar Crime,https://www.gmanetwork.com/news/topstories/metro/866018/2-nabbed-for-selling-registered-sim-cards/story/,https://images.gmanews.tv/v3/webpics/v3/2014/09/2014_09_30_15_43_54.jpg,,,5
Fire hits residential area in Mandaluyong City,02/12/2023 10:49,,GMA Integrated News,fire broke residential area barangay addition city morning fire past according report super affected area block extension seen carrying water help douse fire thick black smoke seen bureau fire protection raised fourth alarm fifth alarm fire quickly spread light built closely compound difficulty fire narrow streets leading affected area making difficult pass personnel manila electric cut power line area ensure safety fire control update fire residential area block extension addition city control hand declared update fire declared fire addition city total affected fire said hurt fire affected temporarily sought shelter barangay covered court according fire sparked unattended stove investigation ongoing posting time property damage worth million news,"Addition Hills, Mandaluyong City",Property Crime,https://www.gmanetwork.com/news/topstories/metro/860509/fire-hits-residential-area-in-mandaluyong-city/story/,https://images.gmanews.tv/webpics/2023/02/fire_2023_02_12_07_48_42.jpg,,,2
Missing grandmother found shot to death in Tanay,02/12/2023 14:03,,,corpse grandmother missing month found gunshot wound head town according weekend report body old city found highway city police district director police brigadier general said family body tested added interest case news,"Marilaque Highway, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/860530/missing-grandmother-found-shot-to-death-in-tanay/story/,https://images.gmanews.tv/webpics/2023/02/Untitled_2023_02_12_14_02_13.jpg,,,1
"4 alleged ID, document counterfeiters nabbed in Manila",02/12/2023 19:22,,,card document compound manila recto avenue news weekend according manila police district special mayor reaction team smart manila social welfare office said rampant social media costing post like restaurant discount like people said smart investigation section chief police captain based arrest allegedly forged numerous receipts property admitted limited involvement suspect allegedly caught fake document undercover admit forge felt bad said comment news,"Recto Avenue, Manila City",Financial or White Collar Crime,https://www.gmanetwork.com/news/topstories/metro/860562/4-alleged-id-document-counterfeiters-nabbed-in-manila/story/,https://images.gmanews.tv/webpics/2023/02/Untitled_2023_02_12_19_16_28.jpg,,,5
CHR monitoring complaints vs. cops tagged in death of 4 'Tokhang' victims,3/22/2023 13:03,,,commission human said keeping eye linked killing drug city came city metropolitan trial court sole survivor incident direct assault charge police allan date similarly administrative criminal involved pending office ombudsman said statement commission decision acquit testament importance truth justice prevail shot supposedly warning drug raid house group area barangay city dead police shot chest said investigation case resolved alongside drug raid unlawfully summarily executed said resolution said human enforcement form arbitrary arrest arbitrary deprivation life added presumption regularity performance public official shield deliberately human dignity repeated government scrutinize human allegedly linked administration campaign illegal extrajudicial news,"Payatas, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/864688/monitoring-complaints-vs-cops-tagged-in-death-of-4-tokhang-victims/story/,https://images.gmanews.tv/webpics/2023/03/survivor_2023_03_17_21_20_23.JPG,14.7070204,121.0963083,1
Pasig gov't orders closure of online gambling establishments,12/27/2022 15:57,,,city mayor giving gambling city year shut based newly ordinance series ordinance gambling year wind said tweet attached copy ordinance said new gambling offshore gaming seen social gambling hear mother child personal insult permit renewal season legitimate necessary said seen social gambling news mother child personal insult permit renewal season legitimate bribe city council ordinance series effective immediately ordinance approval operate chance city year period cessation listed operating include bingo poker computer gaming ordinance service providing technical support person natural juridical found liable ordinance shall imprisonment period year discretion court ordinance rita news,Pasig City,Morality Crime,https://www.gmanetwork.com/news/topstories/metro/855607/pasig-gov-t-orders-closure-of-online-gambling-establishments/story/,https://images.gmanews.tv/webpics/2022/05/mayorvicosotto_2022_05_10_09_39_52.jpg,,,3
Bomb threat disrupts classes in San Francisco High school in QC,1/25/2023 14:37,,GMA Integrated News,bomb threat classes san high school city according glen super report forced home bomb threat immediately bag left school area city police district said bomb found immediately went school check police barangay currently inside school monitor area news,"Ramon Magsaysay, Quezon City",Property Crime,https://www.gmanetwork.com/news/topstories/metro/858572/bomb-threat-disrupts-classes-in-san-francisco-high-school-in-qc/story/,https://images.gmanews.tv/webpics/2017/09/Quezon-City_2017_09_07_16_56_37.jpg,14.6591031,121.0226857,2
Locals recover corpse of missing 12-year-old along QC creek,01/08/2023 14:04,,"GISELLE OMBAY, GMA Integrated News",corpse year old boy went missing swimming city creek height heavy downpour according report based report body found creek avenue barangay city missing swam creek able home according city disaster risk reduction management office coast guard search boy night body continued look body found far seen alive according report avenue able retrieve body use ladder creek deep city police district continue investigation cause death news,"Santo Domingo, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/856698/locals-recover-corpse-of-missing-12-year-old-along-qc-creek/story/,https://images.gmanews.tv/webpics/2023/01/Drowning_incident_in_Quezon_City_2023_01_07_16_19_27.jpg,14.6297077,121.0077014,1
P80M worth of smuggled gold jewelry seized at NAIA,11/18/2022 17:12,11/18/2022 20:23,,bureau customs million worth gold jewelry international airport statement said assorted gold jewelry hidden inside lavatory aircraft hong boarding inspector aircraft division discovered jewelry boarding airplane terminal according customs middle plane lavatory ceiling found thorough search inspection said report cabin crew locked middle plane said district collector ordered thorough probe identify people smuggling attempt separate statement said national police ensure thorough investigation pal security department aviation security group chief police colonel inside aircraft lavatory immediate investigation arrival aircraft manila said inspection discovered endorsed pal ensure orderly thorough probe added said stringent implementation border security directed commissioner yogi accordance president order stop smuggling news,Metro Manila,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/851905/p80m-worth-of-smuggled-gold-jewelry-seized-in-naia/story/,https://images.gmanews.tv/webpics/2022/11/IMG-5988_2022_11_18_17_01_33.jpg,,,4
Authorities intercept P17.04M worth of illegal drugs in 6 air parcels,12/10/2022 11:24,,GMA Integrated News,million worth illegal air government bureau customs said air involved outbound new inbound operation international airport drug enforcement agency inter agency drug interdiction task group found inside outbound air new declared contain shield thick foam shield white crystalline substance later confirmed hydrochloride weighed value million found inbound declared tamarind value million hand found oil government turned illegal proper disposition said investigation ongoing apprehend people illicit found involved illegal violation republic act comprehensive dangerous act customs modernization tariff act added news,Metro Manila,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/854076/authorities-intercept-p17-04m-worth-of-illegal-drugs-in-6-air-parcels/story/,https://images.gmanews.tv/webpics/2022/12/illegaldrugs_2022_12_10_10_20_48.jpg,,,4
Depositor loses P1 million in bank account,12/10/2022 0:59,,GMA Integrated News,businesswoman complaint national bureau investigation lost million bank account according report said received numerous time said banking said bank received message transaction told report inquiry said found lost million personally went bank immediately sought help division following incident said bank investigation commercial banking corporation branch written letter saying return money lost lack breach system branch comment declined statement said matter headquarters confirmed received victim complaint division chief public remain vigilant especially holiday season statement said account outside bank system client account information password time giving access constantly bank said news,Metro Manila,Cybercrime,https://www.gmanetwork.com/news/topstories/metro/854058/depositor-loses-p1-million-in-bank-account/story/,https://images.gmanews.tv/webpics/2022/12/P1_million_lost_2022_12_10_00_40_26.png,,,6
Metro Manila LGUs: No license confiscations until single ticketing system implementation,12/10/2022 17:53,,"SHERYLIN UNTALAN, GMA Integrated News",manila agreed traffic single ticketing system demerit scheme sam super fourth meeting technical working group single ticketing system acting metropolitan manila development authority said technical working group implementation traffic local government listed transferred land transportation office manila council president san mayor continue issue traffic violation receipts pay fine settlement period depend soon single ticketing system implementation demerit scheme single ticketing system violation require point deduction reach limit implementation single ticketing system quarter news,Metro Manila,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/854098/metro-manila-lgus-no-license-confiscations-until-single-ticketing-system-implementation/story/,https://images.gmanews.tv/webpics/2022/11/edsa_traffic_2022_11_17_01_01_58.jpg,,,4
"SUV, â€˜with siren and blinkerâ€™, hits LTO enforcer on EDSA Caloocan",10/17/2022 19:47,,GMA News,traffic enforcer land transportation office hurt driver continued officer tried stop according report enforcer butch kept going turn slot continued slowly enforcer said left foot motorist said blinker siren regulated enforcer went assist driver license driver driver license suspended days enforcer looking file criminal complaint driver administrative case,Metro Manila,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/848362/suv-with-siren-and-blinker-hits-lto-enforcer-on-edsa-caloocan/story/,https://images.gmanews.tv/webpics/2022/10/SUV_hits_LTO_enforcer_2022_10_17_19_32_16.png,,,4
"NBI arrests, files charges vs. man posing as SC official",8/24/2022 13:42,,"JOAHNA LEI CASILAO, GMA News",national bureau investigation allegedly official supreme court statement said mark jasper entrapment operation city august posing deputy clerk court chief technology officer high court computer related identity theft multiple computer related forgery violation anti alias usurpation authority office city prosecutor grateful swift action arrest impostor supreme court malfeasance seriously cause immediate investigation illegal judiciary said encourage public report misconduct wrongdoing judge court official employee order investigate matter immediately added arrest stemmed president construction development corporation said later allegedly help facilitate accreditation firm exchange able confirm different person report incident special action unit august execute affidavit deny involvement said engaged fraudulent lawyer doctor mayor,Paranaque City,Financial or White Collar Crime,https://www.gmanetwork.com/news/topstories/metro/842597/nbi-arrests-files-charges-vs-man-posing-as-sc-official/story/,https://images.gmanews.tv/webpics/2020/04/reeltime_2020_04_22_18_51_10.jpg,,,5
Alleged fake manpower agency in Pasay busted; 7 employees arrested,8/24/2022 11:07,,GMA News,seven operation fake agency city said agency allegedly best legitimate agency according report news balita police said fake agency social media acting best reportedly placement medical examination allegedly actually provided social media acting best incorporated complainant office taft avenue police major franklin team leader national police southern district anti team said place social media acting best incorporated complainant message refer office taft avenue placement medical examination thought work forth added placement medical examination people repeatedly office case real said advertisement fake agency social media sent message applied told went office medical examination placement deployment gave fake agency packer applied best hand aware fake agency applicant branch best representative real said received complaint applicant branch found checked company added found checked posting company said applied fake agency examination said going going withdraw want accompany downstairs added application form inside medical examination said downstairs withdraw bank fake agency people accompany best said approaching company need placement employment medical hand company legitimate accepted said accept allegation came like know said police came identity company agency know admitted permit department labor employment dole process dole said permit process operation said idea company allegedly fake statement media face computer related identity theft illegal recruitment police said,Pasig City,Financial or White Collar Crime,https://www.gmanetwork.com/news/topstories/metro/842569/alleged-fake-manpower-agency-in-pasay-busted-7-employees-arrested/story/,https://images.gmanews.tv/webpics/2022/08/arrest_2022_08_24_10_17_04.jpg,,,5
Search ongoing for 12-year-old who fell into a creek in QC,8/16/2022 7:47,,GMA News,coast guard search retrieval year missing swimming creek city prince flores according report news balita yesterday victim bathing creek rain victim suddenly swept away current went swimming creek barangay past heavy fell headed riverbank flores epileptic seizure gone according grandmother personnel combed creek barangay found trace flores creek path mother avenue avenue find search midnight morning said searching difficult garbage creek flores grandmother grandson found soon,"Pinyahan, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/841688/search-ongoing-for-12-year-old-who-fell-into-a-creek-in-qc/story/,https://images.gmanews.tv/webpics/2022/08/rescuers_2022_08_16_07_20_21.jpg,14.6370122,121.050537,1
